name,sanskrit,position,balancing,forwardfold,legstrengthening,legstretching,corestrengthening,hipstrengthening,hipopening,armshoulderstrengthening,armshoulderstretching,backstrengthening,backstretching,backbending,twisting,sidebending
Awkward,Utkaṭāsana,Standing,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Balancing the Cat,Utthita Cakravākāsana,On Arms & Legs,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Bird of Paradise,Svarga Dvijāsana,Standing,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no
Revolved Bird of Paradise,Parivṛtta Svarga Dvijāsana,Standing,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no
Boat,Nāvāsana,Seated,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no
Half Boat,Ardha Nāvāsana,Seated,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no
Bound Angle,Baddha Koṇāsana,Seated,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
Supine Bound Angle,Supta Baddha Koṇāsana,Supine,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
Bow,Dhanurāsana,Prone,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no
Half Bow,Ardha Dhanurāsana,On Arms & Legs,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no
Table Top (Box),Cakravākāsana,On Arms & Legs,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Table Top (Box) with Knee to Forehead,,On Arms & Legs,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no
Thread the Needle,,On Arms & Legs,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no
One Legged Box,,On Arms & Legs,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no
Bridge,Setu Bandha Sarvāṅgāsana,Supine,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
One Legged Bridge,Eka Pāda Setu Bandha Sarvāṅgāsana,Supine,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
Camel,Uṣṭrāsana,On Knees,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no
Cat,Marjaryāsana,On Arms & Legs,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Seated Forward Fold,,Seated,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Chair,Utkaṭāsana,Standing,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no
