id,pose_id,area
1,9,Back Bending
2,10,Back Bending
3,15,Back Bending
4,16,Back Bending
5,17,Back Bending
6,26,Back Bending
7,29,Back Bending
8,38,Back Bending
9,65,Back Bending
10,68,Back Bending
11,78,Back Bending
12,96,Back Bending
13,97,Back Bending
14,99,Back Bending
15,101,Back Bending
16,102,Back Bending
17,117,Back Bending
18,124,Back Bending
19,131,Back Bending
20,132,Back Bending
21,140,Back Bending
22,150,Back Bending
23,152,Back Bending
24,157,Back Bending
25,164,Back Bending
26,165,Back Bending
27,166,Back Bending
