id,pose_id,area
1,1,balancing
2,2,balancing
3,3,balancing
4,4,balancing
5,5,balancing
6,6,balancing
7,14,balancing
8,47,balancing
9,48,balancing
10,49,balancing
11,62,balancing
12,64,balancing
13,67,balancing
14,69,balancing
15,70,balancing
16,75,balancing
17,77,balancing
18,78,balancing
19,79,balancing
20,81,balancing
21,82,balancing
22,85,balancing
23,86,balancing
24,88,balancing
25,89,balancing
26,90,balancing
27,91,balancing
28,92,balancing
29,98,balancing
30,101,balancing
31,102,balancing
32,116,balancing
33,118,balancing
34,130,balancing
35,131,balancing
36,132,balancing
37,134,balancing
38,144,balancing
39,145,balancing
40,146,balancing
41,147,balancing
42,148,balancing
43,154,balancing
44,163,balancing
45,169,balancing
46,172,balancing
47,173,balancing
