id,name,sanskrit,position
1,Awkward,Utkaṭāsana,Standing
2,Balancing the Cat,Utthita Cakravākāsana,On Arms & Legs
3,Bird of Paradise,Svarga Dvijāsana,Standing
4,Revolved Bird of Paradise,Parivṛtta Svarga Dvijāsana,Standing
5,Boat,Nāvāsana,Seated
6,Half Boat,Ardha Nāvāsana,Seated
7,Bound Angle,Baddha Koṇāsana,Seated
8,Supine Bound Angle,Supta Baddha Koṇāsana,Supine
9,Bow,Dhanurāsana,Prone
10,Half Bow,Ardha Dhanurāsana,On Arms & Legs
11,Table Top (Box),Cakravākāsana,On Arms & Legs
12,Table Top (Box) with Knee to Forehead,,On Arms & Legs
13,Thread the Needle,,On Arms & Legs
14,One Legged Box,,On Arms & Legs
15,Bridge,Setu Bandha Sarvāṅgāsana,Supine
16,One Legged Bridge,Eka Pāda Setu Bandha Sarvāṅgāsana,Supine
17,Camel,Uṣṭrāsana,On Knees
18,Cat,Marjaryāsana,On Arms & Legs
19,Seated Forward Fold,,Seated
20,Chair,Utkaṭāsana,Standing
21,Chair with Prayer Hands,,Standing
22,Revolved Chair (Chair with Prayer Twist),Parivṛtta Utkaṭāsana,Standing
23,Bound Revolved Chair,Parivṛtta Baddha Utkaṭāsana,Standing
24,Child's,Balāsana,Prone
25,Extended Child's,Utthita Balāsana,Prone
26,Cobra,Bhujaṅgāsana,Prone
27,Corpse,Śavāsana,Supine
28,Front Corpse,,Prone
29,Cow,Bitilāsana,On Arms & Legs
30,Cow Face,Gomukhāsana,Seated
31,Crescent Lunge,,Standing
32,Crescent Lunge with Prayer Hands,,Standing
33,Crescent Lunge Forward Bend,,Standing
34,Revolved Crescent Lunge,Parivṛtta Aṅjaneyāsana,Standing
35,Revolved Crescent Lunge with Extended Arms,Utthita Parivṛtta Aṅjaneyāsana,Standing
36,Bound Revolved Crescent Lunge,Parivṛtta Baddha Aṅjaneyāsana,Standing
37,Crescent Lunge Twist,,Standing
38,Reverse Crescent Lunge Twist,,Standing
39,Crescent Lunge on the Knee,Aṅjaneyāsana,Standing
40,Crescent Lunge Forward Bend on the Knee,,Standing
41,Revolved Crescent Lunge on the Knee,Parivṛtta Aṅjaneyāsana,Standing
42,Revolved Crescent Lunge on the Knee with Extended Arms,Utthita Parivṛtta Aṅjaneyāsana,Standing
43,Bound Revolved Crescent Lunge on the Knee,Parivṛtta Baddha Aṅjaneyāsana,Standing
44,Crescent Lunge Twist on the Knee,,Standing
45,Reverse Crescent Lunge Twist on the Knee,,Standing
46,Crescent Moon,Ashta Chandrāsana,Standing
47,Crow,Bakāsana,Inversion
48,One Legged Crow,Eka Pāda Bakāsana,Inversion
49,Side Crow,Pārśva Bakāsana,Inversion
50,Deaf Man's,Karṇapīḍāsana,Inversion
51,Dolphin,,On Arms & Legs
52,One Legged Dolphin,,On Arms & Legs
53,Dolphin Plank,,On Arms & Legs
54,Side Dolphin Plank,,On Arms & Legs
55,Downward-Facing Dog,,On Arms & Legs
56,Walk the Dog,,On Arms & Legs
57,Downward-Facing Dog with Knee to Forehead,,On Arms & Legs
58,Downward-Facing Dog with Stacked Hips,,On Arms & Legs
59,One Legged Downward-Facing Dog,Eka Pāda Adho Mukha Śvānāsana,On Arms & Legs
60,Revolved Downward-Facing Dog,Parivṛtta Adho Mukha Śvānāsana,On Arms & Legs
61,Downward-Facing Dog with Toe Raises,,On Arms & Legs
62,Eagle,Garuḍāsana,Standing 
63,Easy,Sukhāsana,Seated
