id,pose_id,area
1,4,Twisting
2,13,Twisting
3,22,Twisting
4,23,Twisting
5,30,Twisting
6,34,Twisting
7,35,Twisting
8,36,Twisting
9,37,Twisting
10,38,Twisting
11,41,Twisting
12,42,Twisting
13,43,Twisting
14,44,Twisting
15,45,Twisting
16,49,Twisting
17,60,Twisting
18,70,Twisting
19,79,Twisting
20,109,Twisting
21,113,Twisting
22,114,Twisting
23,135,Twisting
24,136,Twisting
25,137,Twisting
26,138,Twisting
27,141,Twisting
28,147,Twisting
29,148,Twisting
30,156,Twisting
31,159,Twisting
32,169,Twisting
33,170,Twisting
34,173,Twisting
